Date,Time,BhutanGold,BhutanDeluxe
13/08/2023,2:00 PM,74,96
13/08/2023,2:15 PM,39,49
13/08/2023,2:30 PM,53,19
13/08/2023,2:45 PM,88,46
13/08/2023,3:00 PM,79,65
13/08/2023,3:15 PM,45,58
13/08/2023,3:30 PM,34,73
13/08/2023,3:45 PM,23,54
13/08/2023,4:00 PM,13,34
13/08/2023,4:15 PM,45,54
13/08/2023,4:30 PM,52,2
13/08/2023,4:45 PM,58,28
13/08/2023,5:00 PM,4,50
13/08/2023,5:15 PM,35,9
13/08/2023,5:30 PM,44,22
13/08/2023,5:45 PM,51,12
13/08/2023,6:00 PM,97,20
13/08/2023,6:15 PM,69,61
13/08/2023,6:30 PM,0,68
13/08/2023,6:45 PM,69,3
13/08/2023,7:00 PM,63,32
13/08/2023,7:15 PM,0,26
13/08/2023,7:30 PM,71,26
13/08/2023,7:45 PM,27,1
13/08/2023,8:00 PM,66,3
13/08/2023,8:15 PM,17,9
13/08/2023,8:30 PM,99,21
13/08/2023,8:45 PM,88,57
13/08/2023,9:00 PM,20,29
14/08/2023,9:00 AM,97,2
14/08/2023,9:15 AM,4,9
14/08/2023,9:30 AM,25,3
14/08/2023,9:45 AM,52,30
14/08/2023,10:00 AM,3,44
14/08/2023,10:15 AM,18,65
14/08/2023,10:30 AM,45,92
14/08/2023,10:45 AM,90,47
14/08/2023,11:00 AM,31,20
14/08/2023,11:15 AM,70,10
14/08/2023,11:30 AM,98,77
14/08/2023,11:45 AM,15,19
14/08/2023,12:00 PM,35,70
14/08/2023,12:15 PM,91,98
14/08/2023,12:30 PM,74,50
14/08/2023,12:45 PM,14,81
14/08/2023,1:00 PM,39,54
14/08/2023,1:15 PM,88,22
14/08/2023,1:30 PM,7,69
14/08/2023,1:45 PM,1,88
14/08/2023,2:00 PM,46,39
14/08/2023,2:15 PM,27,69
14/08/2023,2:30 PM,23,31
14/08/2023,2:45 PM,38,85
14/08/2023,3:00 PM,7,2
14/08/2023,3:15 PM,43,65
14/08/2023,3:30 PM,89,94
14/08/2023,3:45 PM,11,4
14/08/2023,4:00 PM,25,47
14/08/2023,4:15 PM,76,99
14/08/2023,4:30 PM,53,56
14/08/2023,4:45 PM,50,61
14/08/2023,5:00 PM,29,68
14/08/2023,5:15 PM,58,94
14/08/2023,5:30 PM,0,17
14/08/2023,5:45 PM,88,72
14/08/2023,6:00 PM,11,84
14/08/2023,6:15 PM,68,78
14/08/2023,6:30 PM,5,12
14/08/2023,6:45 PM,61,75
14/08/2023,7:00 PM,54,31
14/08/2023,7:15 PM,10,80
14/08/2023,7:30 PM,89,15
14/08/2023,7:45 PM,22,14
14/08/2023,8:00 PM,49,91
14/08/2023,8:15 PM,36,87
14/08/2023,8:30 PM,7,66
14/08/2023,8:45 PM,85,23
14/08/2023,9:00 PM,28,39
15/08/2023,9:00 AM,96,93
15/08/2023,9:15 AM,46,44
15/08/2023,9:30 AM,91,39
15/08/2023,9:45 AM,63,82
15/08/2023,10:00 AM,81,21
15/08/2023,10:15 AM,18,38
15/08/2023,10:30 AM,73,47
15/08/2023,10:45 AM,74,96
15/08/2023,11:00 AM,10,81
15/08/2023,11:15 AM,20,59
15/08/2023,11:30 AM,76,63
15/08/2023,11:45 AM,90,69
15/08/2023,12:00 PM,8,82
15/08/2023,12:15 PM,9,56
15/08/2023,12:30 PM,8,58
15/08/2023,12:45 PM,83,12
15/08/2023,1:00 PM,8,71
15/08/2023,1:15 PM,82,40
15/08/2023,1:30 PM,14,70
15/08/2023,1:45 PM,12,35
15/08/2023,2:00 PM,33,16
15/08/2023,2:15 PM,99,49
15/08/2023,2:30 PM,30,28
15/08/2023,2:45 PM,18,59
15/08/2023,3:00 PM,56,17
15/08/2023,3:15 PM,38,1
15/08/2023,3:30 PM,65,97
15/08/2023,3:45 PM,90,53
15/08/2023,4:00 PM,95,32
15/08/2023,4:15 PM,70,83
15/08/2023,4:30 PM,36,6
15/08/2023,4:45 PM,50,60
15/08/2023,5:00 PM,97,81
15/08/2023,5:15 PM,12,86
15/08/2023,5:30 PM,49,16
15/08/2023,5:45 PM,46,81
15/08/2023,6:00 PM,63,39
15/08/2023,6:15 PM,60,29
15/08/2023,6:30 PM,5,57
15/08/2023,6:45 PM,17,32
15/08/2023,7:00 PM,60,2
15/08/2023,7:15 PM,30,2
15/08/2023,7:30 PM,62,7
15/08/2023,7:45 PM,9,98
15/08/2023,8:00 PM,2,75
15/08/2023,8:15 PM,79,14
15/08/2023,8:30 PM,88,19
15/08/2023,8:45 PM,92,49
15/08/2023,9:00 PM,47,8
16/08/2023,9:00 AM,44,51
16/08/2023,9:15 AM,35,31
16/08/2023,9:30 AM,97,25
16/08/2023,9:45 AM,81,1
16/08/2023,10:00 AM,80,15
16/08/2023,10:15 AM,11,99
16/08/2023,10:30 AM,65,68
16/08/2023,10:45 AM,30,14
16/08/2023,11:00 AM,58,23
16/08/2023,11:15 AM,95,57
16/08/2023,11:30 AM,19,86
16/08/2023,11:45 AM,89,56
16/08/2023,12:00 PM,9,86
16/08/2023,12:15 PM,73,21
16/08/2023,12:30 PM,62,72
16/08/2023,12:45 PM,34,89
16/08/2023,1:00 PM,43,2
16/08/2023,1:15 PM,21,25
16/08/2023,1:30 PM,1,24
16/08/2023,1:45 PM,93,53
16/08/2023,2:00 PM,86,19
16/08/2023,2:15 PM,84,1
16/08/2023,2:30 PM,60,51
16/08/2023,2:45 PM,15,9
16/08/2023,3:00 PM,84,91
16/08/2023,3:15 PM,62,17
16/08/2023,3:30 PM,77,79
16/08/2023,3:45 PM,59,42
16/08/2023,4:00 PM,11,20
16/08/2023,4:15 PM,90,44
16/08/2023,4:30 PM,19,27
16/08/2023,4:45 PM,0,93
16/08/2023,5:00 PM,88,22
16/08/2023,5:15 PM,58,85
16/08/2023,5:30 PM,90,23
16/08/2023,5:45 PM,33,95
16/08/2023,6:00 PM,69,49
16/08/2023,6:15 PM,60,91
16/08/2023,6:30 PM,1,45
16/08/2023,6:45 PM,92,69
16/08/2023,7:00 PM,88,74
16/08/2023,7:15 PM,97,85
16/08/2023,7:30 PM,28,84
16/08/2023,7:45 PM,98,32
16/08/2023,8:00 PM,69,45
16/08/2023,8:15 PM,14,7
16/08/2023,8:30 PM,38,34
16/08/2023,8:45 PM,36,24
16/08/2023,9:00 PM,16,73
17/08/2023,9:00 AM,74,10
17/08/2023,9:15 AM,5,67
17/08/2023,9:30 AM,70,24
17/08/2023,9:45 AM,42,93
17/08/2023,10:00 AM,41,14
17/08/2023,10:15 AM,52,8
17/08/2023,10:30 AM,41,15
17/08/2023,10:45 AM,89,55
17/08/2023,11:00 AM,81,7
17/08/2023,11:15 AM,18,3
17/08/2023,11:30 AM,59,74
17/08/2023,11:45 AM,0,50
17/08/2023,12:00 PM,20,80
17/08/2023,12:15 PM,4,85
17/08/2023,12:30 PM,72,75
17/08/2023,12:45 PM,7,78
17/08/2023,1:00 PM,70,13
17/08/2023,1:15 PM,6,37
17/08/2023,1:30 PM,33,68
17/08/2023,1:45 PM,81,44
17/08/2023,2:00 PM,95,21
17/08/2023,2:15 PM,64,32
17/08/2023,2:30 PM,61,95
17/08/2023,2:45 PM,80,40
17/08/2023,3:00 PM,33,44
17/08/2023,3:15 PM,45,64
17/08/2023,3:30 PM,21,14
17/08/2023,3:45 PM,84,33
17/08/2023,4:00 PM,54,23
17/08/2023,4:15 PM,11,31
17/08/2023,4:30 PM,98,1
17/08/2023,4:45 PM,45,96
17/08/2023,5:00 PM,97,64
17/08/2023,5:15 PM,55,50
17/08/2023,5:30 PM,83,67
17/08/2023,5:45 PM,4,65
17/08/2023,6:00 PM,70,10
17/08/2023,6:15 PM,64,15
17/08/2023,6:30 PM,84,53
17/08/2023,6:45 PM,57,1
17/08/2023,7:00 PM,26,83
17/08/2023,7:15 PM,88,36
17/08/2023,7:30 PM,63,18
17/08/2023,7:45 PM,70,63
17/08/2023,8:00 PM,91,35
17/08/2023,8:15 PM,40,31
17/08/2023,8:30 PM,25,87
17/08/2023,8:45 PM,61,1
17/08/2023,9:00 PM,17,26
18/08/2023,9:00 AM,92,5
18/08/2023,9:15 AM,51,66
18/08/2023,9:30 AM,36,32
18/08/2023,9:45 AM,63,41
18/08/2023,10:00 AM,48,72
18/08/2023,10:15 AM,7,24
18/08/2023,10:30 AM,26,4
18/08/2023,10:45 AM,75,19
18/08/2023,11:00 AM,16,30
18/08/2023,11:15 AM,71,75
18/08/2023,11:30 AM,62,60
18/08/2023,11:45 AM,75,60
18/08/2023,12:00 PM,88,47
18/08/2023,12:15 PM,91,47
18/08/2023,12:30 PM,66,58
18/08/2023,12:45 PM,94,89
18/08/2023,1:00 PM,58,16
18/08/2023,1:15 PM,39,37
18/08/2023,1:30 PM,53,13
18/08/2023,1:45 PM,36,40
18/08/2023,2:00 PM,75,51
18/08/2023,2:15 PM,45,69
18/08/2023,2:30 PM,94,62
18/08/2023,2:45 PM,35,34
18/08/2023,3:00 PM,88,87
18/08/2023,3:15 PM,49,57
18/08/2023,3:30 PM,7,31
18/08/2023,3:45 PM,23,61
18/08/2023,4:00 PM,62,79
18/08/2023,4:15 PM,76,26
18/08/2023,4:30 PM,0,3
18/08/2023,4:45 PM,22,79
18/08/2023,5:00 PM,36,31
18/08/2023,5:15 PM,46,83
18/08/2023,5:30 PM,98,49
18/08/2023,5:45 PM,68,24
18/08/2023,6:00 PM,52,53
18/08/2023,6:15 PM,84,67
18/08/2023,6:30 PM,8,70
18/08/2023,6:45 PM,10,85
18/08/2023,7:00 PM,91,42
18/08/2023,7:15 PM,66,21
18/08/2023,7:30 PM,44,58
18/08/2023,7:45 PM,24,47
18/08/2023,8:00 PM,63,36
18/08/2023,8:15 PM,20,52
18/08/2023,8:30 PM,32,9
18/08/2023,8:45 PM,23,92
18/08/2023,9:00 PM,28,37
19/08/2023,9:00 AM,99,41
19/08/2023,9:15 AM,85,96
19/08/2023,9:30 AM,50,70
19/08/2023,9:45 AM,79,90
19/08/2023,10:00 AM,9,74
19/08/2023,10:15 AM,8,72
19/08/2023,10:30 AM,54,7
19/08/2023,10:45 AM,3,32
19/08/2023,11:00 AM,61,10
19/08/2023,11:15 AM,84,37
19/08/2023,11:30 AM,40,12
19/08/2023,11:45 AM,32,1
19/08/2023,12:00 PM,27,66
19/08/2023,12:15 PM,80,50
19/08/2023,12:30 PM,55,33
19/08/2023,12:45 PM,98,28
19/08/2023,1:00 PM,15,8
19/08/2023,1:15 PM,30,55
19/08/2023,1:30 PM,3,13
19/08/2023,1:45 PM,30,46
19/08/2023,2:00 PM,76,31
19/08/2023,2:15 PM,7,34
19/08/2023,2:30 PM,37,24
19/08/2023,2:45 PM,16,39
19/08/2023,3:00 PM,97,82
19/08/2023,3:15 PM,5,10
19/08/2023,3:30 PM,7,71
19/08/2023,3:45 PM,97,30
19/08/2023,4:00 PM,8,54
19/08/2023,4:15 PM,83,34
19/08/2023,4:30 PM,75,80
19/08/2023,4:45 PM,27,16
19/08/2023,5:00 PM,76,96
19/08/2023,5:15 PM,45,97
19/08/2023,5:30 PM,99,8
19/08/2023,5:45 PM,46,11
19/08/2023,6:00 PM,14,91
19/08/2023,6:15 PM,40,18
19/08/2023,6:30 PM,88,89
19/08/2023,6:45 PM,8,60
19/08/2023,7:00 PM,99,27
19/08/2023,7:15 PM,69,85
19/08/2023,7:30 PM,17,54
19/08/2023,7:45 PM,60,70
19/08/2023,8:00 PM,1,44
19/08/2023,8:15 PM,61,45
19/08/2023,8:30 PM,49,60
19/08/2023,8:45 PM,52,9
19/08/2023,9:00 PM,27,55
20/08/2023,9:00 AM,60,95
20/08/2023,9:15 AM,50,28
20/08/2023,9:30 AM,12,58
20/08/2023,9:45 AM,64,29
20/08/2023,10:00 AM,3,9
20/08/2023,10:15 AM,94,44
20/08/2023,10:30 AM,40,71
20/08/2023,10:45 AM,22,91
20/08/2023,11:00 AM,48,23
20/08/2023,11:15 AM,85,30
20/08/2023,11:30 AM,20,52
20/08/2023,11:45 AM,68,46
20/08/2023,12:00 PM,39,83
20/08/2023,12:15 PM,54,34
20/08/2023,12:30 PM,31,21
20/08/2023,12:45 PM,97,59
20/08/2023,1:00 PM,20,25
20/08/2023,1:15 PM,66,72
20/08/2023,1:30 PM,59,51
20/08/2023,1:45 PM,14,1
20/08/2023,2:00 PM,92,84
20/08/2023,2:15 PM,93,63
20/08/2023,2:30 PM,53,33
20/08/2023,2:45 PM,14,9
20/08/2023,3:00 PM,97,3
20/08/2023,3:15 PM,32,31
20/08/2023,3:30 PM,8,66
20/08/2023,3:45 PM,30,48
20/08/2023,4:00 PM,16,43
20/08/2023,4:15 PM,19,72
20/08/2023,4:30 PM,87,13
20/08/2023,4:45 PM,33,41
20/08/2023,5:00 PM,50,35
20/08/2023,5:15 PM,29,27
20/08/2023,5:30 PM,50,63
20/08/2023,5:45 PM,8,25
20/08/2023,6:00 PM,79,22
20/08/2023,6:15 PM,86,50
20/08/2023,6:30 PM,7,79
20/08/2023,6:45 PM,78,83
20/08/2023,7:00 PM,8,70
20/08/2023,7:15 PM,13,12
20/08/2023,7:30 PM,18,8
20/08/2023,7:45 PM,0,53
20/08/2023,8:00 PM,68,83
20/08/2023,8:15 PM,43,90
20/08/2023,8:30 PM,15,13
20/08/2023,8:45 PM,18,5
20/08/2023,9:00 PM,87,27
21/08/2023,9:00 AM,23,34
21/08/2023,9:15 AM,32,90
21/08/2023,9:30 AM,3,75
21/08/2023,9:45 AM,65,36
21/08/2023,10:00 AM,47,4
21/08/2023,10:15 AM,91,12
21/08/2023,10:30 AM,73,82
21/08/2023,10:45 AM,39,65
21/08/2023,11:00 AM,50,95
21/08/2023,11:15 AM,1,59
21/08/2023,11:30 AM,26,51
21/08/2023,11:45 AM,31,10
21/08/2023,12:00 PM,87,58
21/08/2023,12:15 PM,80,66
21/08/2023,12:30 PM,20,43
21/08/2023,12:45 PM,89,57
21/08/2023,1:00 PM,50,26
21/08/2023,1:15 PM,81,97
21/08/2023,1:30 PM,97,69
21/08/2023,1:45 PM,84,24
21/08/2023,2:00 PM,40,96
21/08/2023,2:15 PM,97,82
21/08/2023,2:30 PM,71,46
21/08/2023,2:45 PM,79,6
21/08/2023,3:00 PM,69,35
21/08/2023,3:15 PM,36,94
21/08/2023,3:30 PM,63,10
21/08/2023,3:45 PM,20,77
21/08/2023,4:00 PM,75,97
21/08/2023,4:15 PM,38,59
21/08/2023,4:30 PM,44,36
21/08/2023,4:45 PM,97,58
21/08/2023,5:00 PM,78,4
21/08/2023,5:15 PM,82,7
21/08/2023,5:30 PM,36,51
21/08/2023,5:45 PM,76,4
21/08/2023,6:00 PM,90,43
21/08/2023,6:15 PM,81,89
21/08/2023,6:30 PM,18,86
21/08/2023,6:45 PM,34,13
21/08/2023,7:00 PM,44,56
21/08/2023,7:15 PM,8,95
21/08/2023,7:30 PM,18,72
21/08/2023,7:45 PM,8,37
21/08/2023,8:00 PM,49,78
21/08/2023,8:15 PM,42,91
21/08/2023,8:30 PM,11,77
21/08/2023,8:45 PM,8,33
21/08/2023,9:00 PM,66,68
22/08/2023,9:00 AM,2,16
22/08/2023,9:15 AM,93,88
22/08/2023,9:30 AM,2,0
22/08/2023,9:45 AM,17,18
22/08/2023,10:00 AM,51,38
22/08/2023,10:15 AM,45,68
22/08/2023,10:30 AM,49,40
22/08/2023,10:45 AM,67,1
22/08/2023,11:00 AM,84,73
22/08/2023,11:15 AM,71,93
22/08/2023,11:30 AM,35,12
22/08/2023,11:45 AM,90,26
22/08/2023,12:00 PM,2,98
22/08/2023,12:15 PM,70,93
22/08/2023,12:30 PM,68,24
22/08/2023,12:45 PM,15,80
22/08/2023,1:00 PM,24,86
22/08/2023,1:15 PM,44,50
22/08/2023,1:30 PM,8,60
22/08/2023,1:45 PM,24,21
22/08/2023,2:00 PM,60,21
22/08/2023,2:15 PM,7,95
22/08/2023,2:30 PM,91,26
22/08/2023,2:45 PM,71,66
22/08/2023,3:00 PM,24,58
22/08/2023,3:15 PM,54,33
22/08/2023,3:30 PM,55,57
22/08/2023,3:45 PM,62,93
22/08/2023,4:00 PM,36,1
22/08/2023,4:15 PM,18,36
22/08/2023,4:30 PM,40,70
22/08/2023,4:45 PM,41,57
22/08/2023,5:00 PM,10,68
22/08/2023,5:15 PM,1,98
22/08/2023,5:30 PM,92,61
22/08/2023,5:45 PM,50,51
22/08/2023,6:00 PM,30,18
22/08/2023,6:15 PM,72,24
22/08/2023,6:30 PM,14,99
22/08/2023,6:45 PM,15,46
22/08/2023,7:00 PM,64,11
22/08/2023,7:15 PM,78,55
22/08/2023,7:30 PM,71,19
22/08/2023,7:45 PM,53,50
22/08/2023,8:00 PM,11,49
22/08/2023,8:15 PM,98,77
22/08/2023,8:30 PM,25,55
22/08/2023,8:45 PM,60,68
22/08/2023,9:00 PM,52,39
23/08/2023,9:00 AM,26,4
23/08/2023,9:15 AM,92,19
23/08/2023,9:30 AM,30,7
23/08/2023,9:45 AM,98,55
23/08/2023,10:00 AM,61,27
23/08/2023,10:15 AM,58,52
23/08/2023,10:30 AM,36,74
23/08/2023,10:45 AM,14,52
23/08/2023,11:00 AM,32,95
23/08/2023,11:15 AM,40,33
23/08/2023,11:30 AM,49,27
23/08/2023,11:45 AM,80,79
23/08/2023,12:00 PM,82,72
23/08/2023,12:15 PM,24,68
23/08/2023,12:30 PM,91,85
23/08/2023,12:45 PM,8,16
23/08/2023,1:00 PM,57,62
23/08/2023,1:15 PM,55,9
23/08/2023,1:30 PM,14,63
23/08/2023,1:45 PM,75,68
23/08/2023,2:00 PM,39,90
23/08/2023,2:15 PM,89,82
23/08/2023,2:30 PM,32,70
23/08/2023,2:45 PM,78,79
23/08/2023,3:00 PM,12,19
23/08/2023,3:15 PM,87,44
23/08/2023,3:30 PM,70,4
23/08/2023,3:45 PM,32,16
23/08/2023,4:00 PM,30,53
23/08/2023,4:15 PM,95,49
23/08/2023,4:30 PM,54,39
23/08/2023,4:45 PM,19,50
23/08/2023,5:00 PM,21,35
23/08/2023,5:15 PM,79,77
23/08/2023,5:30 PM,98,13
23/08/2023,5:45 PM,58,53
23/08/2023,6:00 PM,8,46
23/08/2023,6:15 PM,80,65
23/08/2023,6:30 PM,98,13
23/08/2023,6:45 PM,47,26
23/08/2023,7:00 PM,75,37
23/08/2023,7:15 PM,51,31
23/08/2023,7:30 PM,24,39
23/08/2023,7:45 PM,11,7
23/08/2023,8:00 PM,14,8
23/08/2023,8:15 PM,3,12
23/08/2023,8:30 PM,49,45
23/08/2023,8:45 PM,68,94
23/08/2023,9:00 PM,74,2
24/08/2023,9:00 AM,80,40
24/08/2023,9:15 AM,18,36
24/08/2023,9:30 AM,42,55
24/08/2023,9:45 AM,35,86
24/08/2023,10:00 AM,34,80
24/08/2023,10:15 AM,63,5
24/08/2023,10:30 AM,77,37
24/08/2023,10:45 AM,47,29
24/08/2023,11:00 AM,78,68
24/08/2023,11:15 AM,25,24
24/08/2023,11:30 AM,59,72
24/08/2023,11:45 AM,19,13
24/08/2023,12:00 PM,90,4
24/08/2023,12:15 PM,81,58
24/08/2023,12:30 PM,68,18
24/08/2023,12:45 PM,39,62
24/08/2023,1:00 PM,14,13
24/08/2023,1:15 PM,23,75
24/08/2023,1:30 PM,81,26
24/08/2023,1:45 PM,12,98
24/08/2023,2:00 PM,45,49
24/08/2023,2:15 PM,9,61
24/08/2023,2:30 PM,88,99
24/08/2023,2:45 PM,98,52
24/08/2023,3:00 PM,24,4
24/08/2023,3:15 PM,8,56
24/08/2023,3:30 PM,33,60
24/08/2023,3:45 PM,40,10
24/08/2023,4:00 PM,12,79
24/08/2023,4:15 PM,8,96
24/08/2023,4:30 PM,29,70
24/08/2023,4:45 PM,17,60
24/08/2023,5:00 PM,53,21
24/08/2023,5:15 PM,11,48
24/08/2023,5:30 PM,92,95
24/08/2023,5:45 PM,62,64
24/08/2023,6:00 PM,62,21
24/08/2023,6:15 PM,18,15
24/08/2023,6:30 PM,47,61
24/08/2023,6:45 PM,91,81
